"","distance","location","Model"
"610",0.780265650967347,"armstrong","Pots"
"611",0.79964194971619,"armstrong","Pots"
"612",0.824549942969593,"armstrong","Pots"
"613",0.773655213195125,"armstrong","Pots"
"614",0.611306283414234,"armstrong","Pots"
"615",0.640662134669055,"armstrong","Pots"
"616",0.838200426440561,"armstrong","Pots"
"617",0.771771952697236,"armstrong","Pots"
"618",1.01139670963966,"armstrong","Pots"
"619",0.998113532271066,"armstrong","Pots"
"620",1.15073644970973,"armstrong","Pots"
"621",1.21936136736923,"armstrong","Pots"
"622",1.28564418685971,"armstrong","Pots"
"623",1.26458474284871,"armstrong","Pots"
"624",1.31457843100758,"armstrong","Pots"
"625",1.3466161650044,"armstrong","Pots"
"626",1.3662114824007,"armstrong","Pots"
"627",1.38803134293955,"armstrong","Pots"
"628",1.43479860045869,"armstrong","Pots"
"629",1.39289469551184,"armstrong","Pots"
"630",1.46395366438504,"armstrong","Pots"
"631",1.50988965544395,"armstrong","Pots"
"632",1.54447542921415,"armstrong","Pots"
"633",1.49519821534996,"armstrong","Pots"
"634",1.56422883227848,"armstrong","Pots"
"635",1.60568601257149,"armstrong","Pots"
"636",1.63736821247676,"armstrong","Pots"
"637",1.6001608282938,"armstrong","Pots"
"638",1.56116782923994,"armstrong","Pots"
"639",1.6330845154891,"armstrong","Pots"
"640",1.66929444584123,"armstrong","Pots"
"641",1.65192098413326,"armstrong","Pots"
"642",1.65152436403632,"armstrong","Pots"
"643",1.61320219599437,"armstrong","Pots"
"644",1.56931978067978,"armstrong","Pots"
"645",1.51524221662507,"armstrong","Pots"
"646",1.47266823791181,"armstrong","Pots"
"647",1.41145334007453,"armstrong","Pots"
"648",1.47421413433959,"armstrong","Pots"
"649",1.58685018799446,"armstrong","Pots"
"650",1.53582691852218,"armstrong","Pots"
"651",1.54397743093405,"armstrong","Pots"
"652",1.62877189427992,"armstrong","Pots"
"653",1.5830841498737,"armstrong","Pots"
"654",1.54451808366691,"armstrong","Pots"
"655",1.59127337363821,"armstrong","Pots"
"656",1.65572112093073,"armstrong","Pots"
"657",1.67218833960801,"armstrong","Pots"
"753",4.15146185379359,"armstrong","Pots"
"754",4.38022949775108,"armstrong","Pots"
"755",4.38059597544903,"armstrong","Pots"
"756",3.35493555897847,"armstrong","Pots"
"757",3.39573702606561,"armstrong","Pots"
"758",3.43753240922478,"armstrong","Pots"
"759",3.37344407950889,"armstrong","Pots"
"760",3.41781041865237,"armstrong","Pots"
"761",3.33408864221684,"armstrong","Pots"
"762",3.37374749826431,"armstrong","Pots"
"763",3.39355639600795,"armstrong","Pots"
"764",3.35867522405609,"armstrong","Pots"
"765",3.34359489871349,"armstrong","Pots"
"766",3.37119403933207,"armstrong","Pots"
"767",3.46991275194098,"armstrong","Pots"
"768",3.41737151859739,"armstrong","Pots"
"769",3.38308910818024,"armstrong","Pots"
"770",3.23584070682988,"armstrong","Pots"
"771",3.16507750356052,"armstrong","Pots"
"772",3.11647972021279,"armstrong","Pots"
"773",3.10435089081601,"armstrong","Pots"
"774",3.08250360845142,"armstrong","Pots"
"775",3.08189807490079,"armstrong","Pots"
"776",3.06911115480347,"armstrong","Pots"
"777",3.03362491096653,"armstrong","Pots"
"778",2.9905894200011,"armstrong","Pots"
"779",3.04244329142738,"armstrong","Pots"
"780",3.05480798869273,"armstrong","Pots"
"781",3.07983294277979,"armstrong","Pots"
"782",2.76120911145583,"armstrong","Pots"
"783",2.66148405651675,"armstrong","Pots"
"784",2.61610647277838,"armstrong","Pots"
"785",2.72986655234951,"armstrong","Pots"
"786",2.80090962206324,"armstrong","Pots"
"787",2.81524441251833,"armstrong","Pots"
"788",2.83939901128718,"armstrong","Pots"
"789",2.87431943998953,"armstrong","Pots"
"790",2.92081313568826,"armstrong","Pots"
"791",2.92797479380404,"armstrong","Pots"
"792",2.90311569568717,"armstrong","Pots"
"793",2.97235059525233,"armstrong","Pots"
"794",2.97466790843973,"armstrong","Pots"
"795",3.01495088586555,"armstrong","Pots"
"796",3.03115290647526,"armstrong","Pots"
"1",0.5877408,"armstrong","NULL"
"2",0.597391831043257,"armstrong","NULL"
"3",0.607042862086514,"armstrong","NULL"
"4",0.616693893129771,"armstrong","NULL"
"5",0.626344924173028,"armstrong","NULL"
"6",0.635995955216285,"armstrong","NULL"
"7",0.645646986259542,"armstrong","NULL"
"8",0.655298017302799,"armstrong","NULL"
"9",0.664949048346056,"armstrong","NULL"
"10",0.674600079389313,"armstrong","NULL"
"11",0.68425111043257,"armstrong","NULL"
"1210",0.693902141475827,"armstrong","NULL"
"13",0.703553172519084,"armstrong","NULL"
"1410",0.713204203562341,"armstrong","NULL"
"15",0.722855234605598,"armstrong","NULL"
"16",0.732506265648855,"armstrong","NULL"
"17",0.742157296692112,"armstrong","NULL"
"18",0.751808327735369,"armstrong","NULL"
"19",0.761459358778626,"armstrong","NULL"
"2010",0.771110389821883,"armstrong","NULL"
"21",0.78076142086514,"armstrong","NULL"
"22",0.790412451908397,"armstrong","NULL"
"2310",0.800063482951654,"armstrong","NULL"
"2410",0.809714513994911,"armstrong","NULL"
"2510",0.819365545038168,"armstrong","NULL"
"2610",0.829016576081425,"armstrong","NULL"
"2710",0.838667607124682,"armstrong","NULL"
"2810",0.848318638167939,"armstrong","NULL"
"2910",0.857969669211196,"armstrong","NULL"
"30",0.867620700254453,"armstrong","NULL"
"31",0.87727173129771,"armstrong","NULL"
"32",0.886922762340967,"armstrong","NULL"
"3310",0.896573793384224,"armstrong","NULL"
"3410",0.906224824427481,"armstrong","NULL"
"3510",0.915875855470738,"armstrong","NULL"
"3610",0.925526886513995,"armstrong","NULL"
"3710",0.935177917557252,"armstrong","NULL"
"3810",0.944828948600509,"armstrong","NULL"
"395",0.954479979643766,"armstrong","NULL"
"401",0.964131010687023,"armstrong","NULL"
"411",0.97378204173028,"armstrong","NULL"
"421",0.983433072773537,"armstrong","NULL"
"431",0.993084103816794,"armstrong","NULL"
"4410",1.00273513486005,"armstrong","NULL"
"4510",1.01238616590331,"armstrong","NULL"
"4610",1.02203719694656,"armstrong","NULL"
"4710",1.03168822798982,"armstrong","NULL"
"4810",1.04133925903308,"armstrong","NULL"
"4910",1.05099029007634,"armstrong","NULL"
"5010",1.06064132111959,"armstrong","NULL"
"5110",1.07029235216285,"armstrong","NULL"
"5210",1.07994338320611,"armstrong","NULL"
"5310",1.08959441424936,"armstrong","NULL"
"5410",1.09924544529262,"armstrong","NULL"
"5510",1.10889647633588,"armstrong","NULL"
"5610",1.11854750737913,"armstrong","NULL"
"5710",1.12819853842239,"armstrong","NULL"
"5810",1.13784956946565,"armstrong","NULL"
"5910",1.14750060050891,"armstrong","NULL"
"6010",1.15715163155216,"armstrong","NULL"
"6110",1.16680266259542,"armstrong","NULL"
"6210",1.17645369363868,"armstrong","NULL"
"6310",1.18610472468193,"armstrong","NULL"
"6410",1.19575575572519,"armstrong","NULL"
"6510",1.20540678676845,"armstrong","NULL"
"6610",1.2150578178117,"armstrong","NULL"
"6710",1.22470884885496,"armstrong","NULL"
"6810",1.23435987989822,"armstrong","NULL"
"6910",1.24401091094148,"armstrong","NULL"
"7010",1.25366194198473,"armstrong","NULL"
"7110",1.26331297302799,"armstrong","NULL"
"7210",1.27296400407125,"armstrong","NULL"
"7310",1.2826150351145,"armstrong","NULL"
"746",1.29226606615776,"armstrong","NULL"
"751",1.30191709720102,"armstrong","NULL"
"7610",1.31156812824427,"armstrong","NULL"
"7710",1.32121915928753,"armstrong","NULL"
"7810",1.33087019033079,"armstrong","NULL"
"797",1.34052122137405,"armstrong","NULL"
"801",1.3501722524173,"armstrong","NULL"
"811",1.35982328346056,"armstrong","NULL"
"821",1.36947431450382,"armstrong","NULL"
"831",1.37912534554707,"armstrong","NULL"
"841",1.38877637659033,"armstrong","NULL"
"851",1.39842740763359,"armstrong","NULL"
"861",1.40807843867684,"armstrong","NULL"
"871",1.4177294697201,"armstrong","NULL"
"881",1.42738050076336,"armstrong","NULL"
"891",1.43703153180662,"armstrong","NULL"
"901",1.44668256284987,"armstrong","NULL"
"911",1.45633359389313,"armstrong","NULL"
"921",1.46598462493639,"armstrong","NULL"
"931",1.47563565597964,"armstrong","NULL"
"941",1.4852866870229,"armstrong","NULL"
"951",1.49493771806616,"armstrong","NULL"
"961",1.50458874910941,"armstrong","NULL"
"971",1.51423978015267,"armstrong","NULL"
"981",1.52389081119593,"armstrong","NULL"
"991",1.53354184223919,"armstrong","NULL"
"1001",1.54319287328244,"armstrong","NULL"
"1011",1.5528439043257,"armstrong","NULL"
"1021",1.56249493536896,"armstrong","NULL"
"1031",1.57214596641221,"armstrong","NULL"
"1041",1.58179699745547,"armstrong","NULL"
"1051",1.59144802849873,"armstrong","NULL"
"1061",1.60109905954198,"armstrong","NULL"
"1071",1.61075009058524,"armstrong","NULL"
"1081",1.6204011216285,"armstrong","NULL"
"1091",1.63005215267176,"armstrong","NULL"
"1101",1.63970318371501,"armstrong","NULL"
"1111",1.64935421475827,"armstrong","NULL"
"1121",1.65900524580153,"armstrong","NULL"
"1131",1.66865627684478,"armstrong","NULL"
"1141",1.67830730788804,"armstrong","NULL"
"1151",1.6879583389313,"armstrong","NULL"
"1161",1.69760936997455,"armstrong","NULL"
"1171",1.70726040101781,"armstrong","NULL"
"1181",1.71691143206107,"armstrong","NULL"
"1191",1.72656246310433,"armstrong","NULL"
"1201",1.73621349414758,"armstrong","NULL"
"1211",1.74586452519084,"armstrong","NULL"
"1221",1.7555155562341,"armstrong","NULL"
"1231",1.76516658727735,"armstrong","NULL"
"1241",1.77481761832061,"armstrong","NULL"
"1251",1.78446864936387,"armstrong","NULL"
"1261",1.79411968040712,"armstrong","NULL"
"1271",1.80377071145038,"armstrong","NULL"
"1281",1.81342174249364,"armstrong","NULL"
"1291",1.8230727735369,"armstrong","NULL"
